ChainName,PrimaryCategory
Showcase,Mass Merchant
Showcase Cinemas,Theatres
Showmars,Restaurant - Casual
Shrader Tire & Oil,"Auto Service, Parts, + Tires"
Shred415,Gyms + Fitness Facilities
Shuckin? Shack Oyster Bar,Restaurant - Casual
"Shula's Steak Houses",Restaurant - Fine Dining
Shun Fat Supermarket,Grocery
Shursave Markets,Grocery
Sickies Garage Burgers & Brews,Restaurant - Bar/Pub
Sico Paint & Stain,Home Improvement + Building Supplies
Sierra,Sports + Recreation
Sierra Express Wash,Car Wash
SightMD,Optical
Sigma Paints,Home Improvement + Building Supplies
Sign-A-Rama,"Printing, Copying + Publishing"
Signature Bank,Banks + Financial Services
Signature Health Care,Misc. Health Supplies + Services
Signature Inn,Hotels
Signia by Hilton,Hotels
Signs Now,"Printing, Copying + Publishing"
Silver Diner,Restaurant - Casual
Silver Mine Subs,Restaurant - QSR/Fast Food
SilverCity,Theatres
Silverlake Ramen,Restaurant - Fast Casual
Silverspot Cinema,Theatres
Silverstar Car Wash,Car Wash
Simba Sleep,Mattress Store
Simon Property Group,Commercial Properties
SimonMed Imaging,"Hospitals, Urgent Care, + Doctors"
Simons Sportswear,Footwear
"Simonson's",Gas Stations
Simple Simon?s Pizza,Restaurant - QSR/Fast Food
Simply 10,Clothing - Womens
Simply Mac,Computers + Consumer Electronics
Simply Self Storage,Storage
Sinclair Oil,Gas Stations
Sir Speedy,"Printing, Copying + Publishing"
Sirloin Stockade,Restaurant - Casual
"Sit 'n Sleep",Furnishings
Site for Sore Eyes,Optical
SiteOne Landscape Supply,Home Improvement + Building Supplies
Six Flags,Amusement
Sixt Rent a Car,Car + Truck Rentals
Sixty Vines,Restaurant - Bar/Pub
Sizzler,Restaurant - Casual
Skagit Farmers Supply,Agricultural Feed + Seed
Skillets Restaurants,Restaurant - Casual
Skin Laundry,"Spa, Massage, + Esthetics"
Skin Pharm,"Spa, Massage, + Esthetics"
Skin Spirit,"Spa, Massage, + Esthetics"
SkinnyFATS,Restaurant - Casual
"Skip's Tire & Auto Repair Centers","Auto Service, Parts, + Tires"
Skoah,Cosmetics + Beauty Supplies
Skrimp Shack,Restaurant - Casual
Sky High Sports,Amusement
Sky King Fireworks,Amusement
Sky Zone Indoor Trampoline Park,Amusement
Skyline Chili,Restaurant - QSR/Fast Food
Slapfish,Restaurant - Fast Casual
Slate Retail,Commercial Properties
Sleep Country Canada,Mattress Store
Sleep Experts,Furnishings
Sleep First Mattress,Mattress Store
Sleep Inn,Hotels
Sleep Number,Furnishings
Sleep Outfitters,Furnishings
Slice Factory,Restaurant - Fast Casual
"Slim & Husky's",Restaurant - Fast Casual
Slim Chickens,Restaurant - QSR/Fast Food
Slumberland Furniture,Furnishings
Slutty Vegan,Restaurant - Fast Casual
Smaaash,Amusement
Small Door Veterinary,"Hospitals, Urgent Care, + Doctors"
Small Luxury Hotels of the World (SLH),Hotels
Smallcakes,Restaurant - Bakery/Desserts
Smalls Sliders,Restaurant - QSR/Fast Food
Smart,New/Used Car Dealers
Smart & Final,Grocery
Smart Fit,Gyms + Fitness Facilities
Smart Saver,Grocery
SmartCentres,Commercial Properties
SmartPay Leasing,Lending
SmartStop Self Storage,Storage
SmartStyle Family Hair Salons,Hair
Smashburger,Restaurant - Fast Casual
Smile Brands Inc.,Dental
Smile Design Dentistry,Dental
Smile Doctors,Dental
Smile Partners USA,Dental
Smile Workshop,Dental
SmileCare,Dental
SmileDirectClub,Dental
SmileKeepers Dental,Dental
Smilestones Junior Kindergarten,"Schools, Tutoring, + Education"
Smiling Moose Deli,Restaurant - QSR/Fast Food
Smith & Wollensky,Restaurant - Fine Dining
"Smith's Food & Drug Stores",Grocery
"Smithfield's Chicken 'N Bar-B-Q",Restaurant - QSR/Fast Food
"Smitty's",Restaurant - Casual
Smitty?s Car Wash,Car Wash
"Smoke's Poutinerie",Restaurant - QSR/Fast Food
Smoker Friendly,Convenience Store
Smokey Bones,Restaurant - Bar/Pub
"Smokey Mo's TX BBQ",Restaurant - Fast Casual
Smoothie Factory,Restaurant - Juice Bars
Smoothie King,Restaurant - Juice Bars
Snap Finance,Lending
Snap Fitness,Gyms + Fitness Facilities
Snap Kitchen,Restaurant - Fast Casual
Snappy Salads,Restaurant - Fast Casual
"Sneaky Pete's",Restaurant - QSR/Fast Food
Snider Fleet,"Auto Service, Parts, + Tires"
Snip-its,Hair
Snipes,Clothing - Family/Unisex
Snipes USA,Footwear
Snooze Eatery,Restaurant - Fast Casual
"Snow Fox ",Food Retail (Non-Grocers)
SoFresh,Restaurant - Fast Casual
Soapy Joe?s Car Wash,Car Wash
Sobeys,Grocery
Sobeys Liquor,"Beer, Wine, + Liquor Stores"
Sobeys Pharmacy,Drug Stores + Pharmacies
Sobol,Restaurant - Fast Casual
Soccer Post,Sports + Recreation
Society of St. Vincent de Paul,Used Products
Société Québécoise du Cannabis (SQDC),Cannabis Retail
Sodalicious,Restaurant - Coffee/Tea
"Sofa City ",Furnishings
Soft Surroundings,Clothing - Womens
SoftMoc,Clothing - Family/Unisex
Softron,Tax Services
"Soho House ",Hotels
Sola Salon Studios,Hair
Solestice Senior Living,Misc. Health Supplies + Services
Solidcore,Gyms + Fitness Facilities
Solstice Sunglasses,Optical
Soma Intimates,Clothing - Womens
Someburros,Restaurant - Fast Casual
Son of a Butcher,Restaurant - Fast Casual
Sona Dermatology,"Spa, Massage, + Esthetics"
Sonesta Hotels,Hotels
Sonic,Restaurant - QSR/Fast Food
Sonic Automotive,New/Used Car Dealers
Sonida Senior Living,Misc. Health Supplies + Services
"Sonny Bryan's",Restaurant - Fast Casual
Sonny?s Real Pit Bar-B-Q,Restaurant - Casual
Sono Bello,"Hospitals, Urgent Care, + Doctors"
Soriana,Department Store
SoulCycle,Gyms + Fitness Facilities
Soulaki Authentique,Restaurant - Casual
Soulman?s Barbeque,Restaurant - Casual
Souper Salad,Restaurant - Casual
Souplantation,Restaurant - Casual
Source For Sports Canada,Sports + Recreation
Sourdough & Co.,Restaurant - QSR/Fast Food
Souris Mini,Clothing - Childrens
South Beach Tanning Company,"Spa, Massage, + Esthetics"
South Block,Restaurant - Juice Bars
South East Eye Specialists,Optical
South Moon Under,Clothing - Family/Unisex
South Philly Cheesesteaks & Fries,Restaurant - QSR/Fast Food
South St Burger,Restaurant - Casual
South Texas Dental,Dental
SouthStar Bank,Banks + Financial Services
Southeastern Freight,Shipping
Southern Arizona Urgent Care,"Hospitals, Urgent Care, + Doctors"
Southern Blood Services,Misc. Health Supplies + Services
Southern Classic Chicken,Restaurant - QSR/Fast Food
Southern Grounds,Restaurant - Coffee/Tea
Southern Self Storage,Storage
Southern States Cooperative,Agricultural Feed + Seed
Southern Tide,Clothing - Womens
Southern Tire Mart (STM),"Auto Service, Parts, + Tires"
Southern Veterinary Partners,Pet Health + Care
Souvlaki Bar,Restaurant - Casual
Space.NK.apothecary,Cosmetics + Beauty Supplies
Spaces,Shared Offices + Coworking
Spaghetti Warehouse Restaurant,Restaurant - Casual
"Spangles ",Restaurant - Casual
"Spanky's Restaurant",Restaurant - Casual
Spar India,Grocery
Sparkle Market,Grocery
Sparkling Image Car Wash,Car Wash
Spartina 449,Clothing - Womens
Spearmint Rhino Gentlemen?s Club,Amusement
"Spec's Wine, Spirits & Finer Foods","Beer, Wine, + Liquor Stores"
Specialized,Sports + Recreation
Specialty Eye Institute,Optical
"Specialty's Cafe and Bakery",Restaurant - Coffee/Tea
"Speck's",Pet Stores + Supplies
Specsavers Australia,Optical
Specsavers Canada,Optical
Specsavers Optical UK,Optical
Spectrum Paint,Home Improvement + Building Supplies
Spectrum Retirement Communities,Misc. Health Supplies + Services
Spectrum Vision Partners,Misc. Health Supplies + Services
SpeeDee Oil Change & Auto Service,"Auto Service, Parts, + Tires"
Speed Queen,Cleaning
Speed Rabbit Pizza,Restaurant - QSR/Fast Food
Speedway,Gas Stations
Speedy Auto Glass,"Auto Service, Parts, + Tires"
Speedy Auto Service,"Auto Service, Parts, + Tires"
Speedy Cash,Lending
Speedy Splash Carwash,Car Wash
Spenard Builders Supply,Home Improvement + Building Supplies
Spence Diamonds,Jewelry
"Spencer's",Gifts
Spencers TV & Appliance,Computers + Consumer Electronics
Spero Health,Misc. Health Supplies + Services
Sperry,Footwear
Spherion Staffing Services,Staffing/Employment
SpiceBros,Restaurant - Fast Casual
Spicy Pickle,Restaurant - Fast Casual
Spin! Neapolitan Pizza,Restaurant - Fast Casual
SpinXpress Laundry,Cleaning
"Spinato's Pizzeria",Restaurant - Fast Casual
Spinco,Gyms + Fitness Facilities
Spinx,Gas Stations
SpireWorks,Restaurant - Fast Casual
Spirit Halloween,Seasonal
Spirit of Math,"Schools, Tutoring, + Education"
Spitz,Restaurant - Fast Casual
"Splash Car Wash ",Car Wash
Splash Car Wash Arkansas & 10-Minute Oil Change,Car Wash
Splash In Car Wash,Car Wash
Splash Zone Car Wash,Car Wash
Splendid,Clothing - Family/Unisex
Sport Chek,Sports + Recreation
Sport Clips,Hair
Sport and Health Clubs,Gyms + Fitness Facilities
Sporting Life,Sports + Recreation
Sports & Social,Restaurant - Bar/Pub
Sports Additions,Sports + Recreation
Sports Clubs Network,Gyms + Fitness Facilities
Sports Experts Canada,Sports + Recreation
Sports Treasures,Sports + Recreation
"Sportsman's Warehouse",Sports + Recreation
Spring Creek Barbeque,Restaurant - Family
Spring Education Group,"Schools, Tutoring, + Education"
Spring Green,Flowers
Spring Market,Grocery
SpringHill Suites by Marriott,Hotels
Springfield,Clothing - Womens
Springfield Clinic,"Hospitals, Urgent Care, + Doctors"
Springfield Urgent Care,"Hospitals, Urgent Care, + Doctors"
"Sprinkles Cupcakes ",Restaurant - Bakery/Desserts
Sprint,Communications
Sprint Foods,Convenience Store
Sprouts Farmers Market,Grocery
Square Pie Guys,Restaurant - Fast Casual
Squeeze Massage,"Spa, Massage, + Esthetics"
"Squid's Restaurant and Oyster Bar",Restaurant - Fine Dining
St Louis Bar and Grill,Restaurant - Casual
St-Hubert,Restaurant - Casual
St. Elizabeth Healthcare,"Hospitals, Urgent Care, + Doctors"
St. Francis,"Hospitals, Urgent Care, + Doctors"
"St. Joe's Health ","Hospitals, Urgent Care, + Doctors"
St. Johns Properties,Commercial Properties
St. Joseph Health,"Hospitals, Urgent Care, + Doctors"
St. Lucie Battery & Tire,"Auto Service, Parts, + Tires"
St. Luke?s University Health Network,"Hospitals, Urgent Care, + Doctors"
St. Regis Hotel,Hotels
Stacked Pancake House,Restaurant - Casual
Staffmark,Staffing/Employment
Stage Stores,Department Store
"Stan's Donuts",Restaurant - Bakery/Desserts
Stance,Footwear
Standard Optical,Optical
Stanton Optical,Optical
Staples,Office Supplies
Star Buds,Cannabis Retail
Star Furniture,Furnishings
Star Furniture Canada,Furnishings
Star Market,Grocery
Star Nursery,Agricultural Feed + Seed
Star Physical Therapy,Physical Therapy + Rehabilitation
Star Wine & Spirits,"Beer, Wine, + Liquor Stores"
StarChild Academy,"Schools, Tutoring, + Education"
Starbird Chicken,Restaurant - QSR/Fast Food
Starbucks Canada,Restaurant - Coffee/Tea
Starbucks International,Restaurant - Coffee/Tea
Starbucks US,Restaurant - Coffee/Tea
Stark Enterprises,Commercial Properties
Starkey Hearing Technologies,Hearing Care
Starr Western Wear,Clothing - Family/Unisex
Stars and Strikes,Amusement
Starting Strength Gyms,Gyms + Fitness Facilities
Starwood Retail Partners,Commercial Properties
State & Liberty,Clothing - Mens
State & Main,Restaurant - Casual
State Farm,Insurance
State Farm Auto Repair Shops,"Auto Service, Parts, + Tires"
State RDA,Cosmetics + Beauty Supplies
Stater Bros. Markets,Grocery
Stauffers Of Kissel Hill,Grocery
Staybridge Suites,Hotels
"Steak 'n Shake",Restaurant - QSR/Fast Food
Steak Escape Sandwich Grill,Restaurant - QSR/Fast Food
Steak-Out,Restaurant - Casual
Steel Cactus Restaurante & Cantina,Restaurant - Fast Casual
Steel City Pizza,Restaurant - Casual
Stein Mart,Clothing - Family/Unisex
"Stein's Garden & Home",Agricultural Feed + Seed
Steinhafels,Furnishings
Stellazeta,Jewelry
Stepping Stone School,Child Care
Sterling Optical,Optical
Sterling Organization,Commercial Properties
Steve Madden,Footwear
Steve Nash Fitness World,Gyms + Fitness Facilities
Steve Shannon,"Auto Service, Parts, + Tires"
"Stew Leonard's",Grocery
"Stew Leonard's Wine & Spirits","Beer, Wine, + Liquor Stores"
Steward,"Hospitals, Urgent Care, + Doctors"
"Stewart's Shops",Convenience Store
Stickley Audi Furniture,Furnishings
Sticky Fingers,Restaurant - Casual
Stickys,Restaurant - Fast Casual
Stio,Clothing - Family/Unisex
Stir Fry 88,Restaurant - QSR/Fast Food
Stitches Canada,Clothing - Family/Unisex
Sto Corp,Home Improvement + Building Supplies
Stockdales,Agricultural and Industrial Equipment + Supplies
"Stockman's Farm Supply",Agricultural and Industrial Equipment + Supplies
Stokes Stores,Furnishings
Stone Island,Clothing - Family/Unisex
Stonefire Grill,Restaurant - Fast Casual
"Stoner's Pizza Joint",Restaurant - QSR/Fast Food
Stoney River Restaurants,Restaurant - Fine Dining
Stop & Shop,Grocery
"Stop 'n Save",Convenience Store
Stop-A-Minit,Convenience Store
Stor-It Self Storage,Storage
StorAmerica Self Storage,Storage
Storage King USA,Storage
Storage Post Self Storage,Storage
Storage Pros,Storage
Storage Rentals Of America,Storage
Storage Sense,Storage
Storage Solutions,Storage
StorageMart,Storage
StorageMax,Storage
Store Space Self Storage,Storage
Storquest,Storage
Strack & Van Til,Grocery
Stradivarius,Clothing - Womens
Strathallen,Commercial Properties
Stratham Tire,"Auto Service, Parts, + Tires"
Strayer University,"Schools, Tutoring, + Education"
Streets Market,Grocery
Stretch Zone,Physical Therapy + Rehabilitation
StretchLab,Gyms + Fitness Facilities
Strickland Brothers 10 Minute Oil Change,"Auto Service, Parts, + Tires"
Stride Rite,Footwear
Stripes Convenience Stores,Convenience Store
Structube,Furnishings
Stuart Weitzman,Footwear
"Stuckey's",Gas Stations
Studio 6,Hotels
Studio Movie Grill,Theatres
"Studs ",Jewelry
Stumptown Coffee Roasters,Restaurant - Coffee/Tea
Style America,Hair
Style Encore,Clothing - Family/Unisex
Sub Station II,Restaurant - QSR/Fast Food
Sub Zero Ice Cream & Yogurt,Restaurant - Bakery/Desserts
Subaru,New/Used Car Dealers
Subaru Canada,New/Used Car Dealers
Subaru Service Department,"Auto Service, Parts, + Tires"
"Subby's",Restaurant - QSR/Fast Food
Suburban Extended Stay,Hotels
Suburban Tire,"Auto Service, Parts, + Tires"
Subway,Restaurant - QSR/Fast Food
Sudbury Farms,Grocery
Suddenlink,Communications
Suds Car Wash,Car Wash
Suds Deluxe,Car Wash
Sugar Factory,Food Retail (Non-Grocers)
Sugar Mountain,Grocery
Sugar Shack Donuts,Restaurant - Bakery/Desserts
Sugared and Bronzed,"Spa, Massage, + Esthetics"
Sugarfina,Food Retail (Non-Grocers)
Sugarfire Smoke House,Restaurant - Casual
Sugaring NYC,"Spa, Massage, + Esthetics"
Suit Supply,Clothing - Family/Unisex
Sullivan Tire and Auto Service,"Auto Service, Parts, + Tires"
"Sullivan's Foods",Grocery
"Sullivan's Steakhouse",Restaurant - Fine Dining
Summa Health,"Hospitals, Urgent Care, + Doctors"
Summer Fresh Supermarkets,Grocery
Summer Moon Coffee,Restaurant - Coffee/Tea
Summit Coffee,Restaurant - Coffee/Tea
Summit Health,"Hospitals, Urgent Care, + Doctors"
Summit Medical Group,Misc. Health Supplies + Services
Summit Realty Partners,Commercial Properties
Summit Tools,Home Improvement + Building Supplies
Sun & Fork,Restaurant - Fast Casual
Sun & Ski Sports,Sports + Recreation
Sun Auto Service,"Auto Service, Parts, + Tires"
"Sun Auto Tire & Service ","Auto Service, Parts, + Tires"
Sun Devil Auto,"Auto Service, Parts, + Tires"
Sun Fresh,Grocery
Sun Mart Foods,Grocery
Sun Outdoors,New/Used Car Dealers
Sun Tan City,"Spa, Massage, + Esthetics"
Sun Tire,"Auto Service, Parts, + Tires"
Sun and Sunds Car Washes,Car Wash
SunCrest Home Health,Senior Living
SunTrust Bank,Banks + Financial Services
Sunbelt Rentals,Home Improvement + Building Supplies
Sunbit,Lending
Sunburn Cannabis,Cannabis Retail
Sundance,Clothing - Family/Unisex
Sundance Spas,Home Improvement + Building Supplies
Sunflower Shoppe,"Vitamins, Nutrition, and Supplements"
Sunglass Hut,Optical
Sunmed,Cannabis Retail
Sunny Street Café,Restaurant - Casual
Sunnyside,Cannabis Retail
Sunoco,Gas Stations
Sunrise Preschools,Child Care
Sunrise Senior Living,Senior Living
Sunrise Treatment Center,Misc. Health Supplies + Services
Sunset Foods,Grocery
Sunset Grill,Restaurant - Casual
Sunshine Pack & Ship,Shipping
Sunshine Quality Solutions,Agricultural and Industrial Equipment + Supplies
Sunshine Retirement Living,Misc. Health Supplies + Services
Sunstate Equipment,Agricultural and Industrial Equipment + Supplies
Sunstop,Convenience Store
"Supabarn Farmer's Market",Grocery
Super 1 Foods,Grocery
"Super 1 Foods (Washington, Idaho, Montana)",Grocery
Super 10,Discount Stores
Super 8,Hotels
Super A Foods,Grocery
Super C Canada,Grocery
Super Care Health,"Hospitals, Urgent Care, + Doctors"
Super Chix,Restaurant - Fast Casual
Super Dollar,Discount Stores
Super Dollar Discount Foods,Grocery
Super Duper Burgers,Restaurant - Fast Casual
Super King Markets,Grocery
Super Max,Grocery
Super Mercado Mi Tierra,Grocery
Super Mercados El Guero,Grocery
Super Mex,Restaurant - Fast Casual
Super One Foods,Grocery
Super Runners,Footwear
Super Save,Grocery
Super Saver,Grocery
Super Shoes,Footwear
Super Star Car Wash,Car Wash
Super Supermarket,Grocery
Super Valu Foods (Loblaw),Grocery
SuperAmerica,Gas Stations
SuperSuds Laundry,Cleaning
Supercuts,Hair
Superdry,Clothing - Family/Unisex
Superica,Restaurant - Casual
Superior Grocers,Grocery
Superior Tire,"Auto Service, Parts, + Tires"
Superior Tire & Auto,"Auto Service, Parts, + Tires"
Superior Vision,Optical
Superlo Foods,Grocery
Supermacs Ireland,Restaurant - QSR/Fast Food
Supermercado Nuestra Familia,Grocery
Supermercados Econo,Grocery
Supermercados Selectos,Grocery
Supersonic Car Wash,Car Wash
Supplement King,"Vitamins, Nutrition, and Supplements"
Supplement Superstores,"Vitamins, Nutrition, and Supplements"
Supplements Plus,"Vitamins, Nutrition, and Supplements"
Supremo Food Markets,Grocery
Sur La Table,Home + Housewares
Surcheros,Restaurant - Casual
Sure Stay Hotels,Hotels
Surf City Squeeze,Restaurant - Bakery/Desserts
Surf Style,Clothing - Family/Unisex
Surf Style - Distributor Locations,Clothing - Family/Unisex
Surf Taco,Restaurant - QSR/Fast Food
Surf Thru Express Car Wash,Car Wash
Surfs Up Car Wash,Car Wash
Surge Entertainment,Amusement
Surgery Partners,"Hospitals, Urgent Care, + Doctors"
Surplus Furniture and Mattress Warehouse,Furnishings
Surplus Warehouse,Home Improvement + Building Supplies
Surrey Equities,Commercial Properties
Surterra Wellness,Cannabis Retail
Sushi Garden,Restaurant - Casual
Sushi Maki,Restaurant - Fast Casual
Sushi Sake Miami,Restaurant - Casual
Sushi Sama,Restaurant - Casual
Sushi Shop,Restaurant - QSR/Fast Food
SusieCakes,Restaurant - Bakery/Desserts
Sutherland Lumber,Home Improvement + Building Supplies
Suzuki Canada,New/Used Car Dealers
Suzuki Cycles,New/Used Car Dealers
Suzy Canada,Clothing - Womens
Suzy Shier,Clothing - Womens
"Swanky's Taco Shop",Restaurant - QSR/Fast Food
Swarovski,Gifts
Swatch (Canada),Jewelry
Swatch USA,Jewelry
SweatHouz,"Spa, Massage, + Esthetics"
Sweaty Betty,Clothing - Womens
"Sweet CeCe's",Restaurant - Bakery/Desserts
Sweet Chick,Restaurant - Fast Casual
Sweet Factory,Food Retail (Non-Grocers)
Sweet Jesus,Restaurant - Bakery/Desserts
Sweet Paris Crêperie and Cafe,Restaurant - Bakery/Desserts
Sweet Peppers Deli,Restaurant - Fast Casual
Sweet Tomatoes,Restaurant - Fast Casual
Sweetfin Poké,Restaurant - Fast Casual
Sweeto Burrito,Restaurant - Casual
Sweetwaters Coffee & Tea,Restaurant - Coffee/Tea
Sweis Inc,Cosmetics + Beauty Supplies
Swenson Granite,Home Improvement + Building Supplies
Swensons Drive-In Restaurants,Restaurant - QSR/Fast Food
Swift Transportation,Shipping
Swifty Car Wash,Car Wash
Swig,Restaurant - Coffee/Tea
Swimlabs,"Schools, Tutoring, + Education"
Swineford National Bank,Banks + Financial Services
Swingers Crazy Golf,Amusement
Swirl World,Restaurant - Bakery/Desserts
Swiss Chalet,Restaurant - Casual
Swiss Farms Drive-Thru Market,Convenience Store
Swissôtel,Hotels
Sylvan Learning,"Schools, Tutoring, + Education"
Synovus Bank,Banks + Financial Services
Sysco,Food Retail (Non-Grocers)
Søstrene Grene,Home + Housewares
T&T Supermarket,Grocery
T&W Tire,"Auto Service, Parts, + Tires"
T-Mobile,Communications
T-Mobile - Distributor Locations,Communications
T.J. Maxx,Clothing - Family/Unisex
T.O. Haas Tire & Auto,"Auto Service, Parts, + Tires"
TCBY,Restaurant - Bakery/Desserts
TCF Bank,Banks + Financial Services
TCI Tire Centers,"Auto Service, Parts, + Tires"
TD Bank,Banks + Financial Services
TD Canada Trust,Banks + Financial Services
TD Canada Trust - ATM Locations,Banks + Financial Services
TEMPOE,Lending
TGF Hair Salon,Hair
TGI Fridays,Restaurant - Casual
TGK Auto,"Auto Service, Parts, + Tires"
TGS Colorado,Cannabis Retail
THE MAX Challenge,Gyms + Fitness Facilities
TIMBER MART,Home Improvement + Building Supplies
TIMBER MART - Distributor Locations,Home Improvement + Building Supplies
TIMES Supermarkets,Grocery
TITLE Boxing Club,Gyms + Fitness Facilities
TNT Tanning,"Spa, Massage, + Esthetics"
TOCA Football,Gyms + Fitness Facilities
TRC Retail,Commercial Properties
TRC Staffing,Staffing/Employment
TRYP by Wyndham,Hotels
TSC Stores Canada,Home Improvement + Building Supplies
TSG Properties,Commercial Properties
TSO Texas State Optical,Optical
"TYLER'S",Clothing - Family/Unisex
"TaD's Louisiana Cooking",Restaurant - Casual
TaKorean,Restaurant - Fast Casual
Taco Bamba,Restaurant - Fast Casual
Taco Bell,Restaurant - QSR/Fast Food
Taco Bell Canada,Restaurant - QSR/Fast Food
Taco Bell Spain,Restaurant - QSR/Fast Food
Taco Boyz,Restaurant - QSR/Fast Food
Taco Bueno,Restaurant - QSR/Fast Food
Taco Cabana,Restaurant - Fast Casual
Taco Casa,Restaurant - QSR/Fast Food
Taco Del Mar,Restaurant - QSR/Fast Food
Taco Deli,Restaurant - QSR/Fast Food
"Taco John's",Restaurant - QSR/Fast Food
Taco Mac,Restaurant - Casual
Taco Maker,Restaurant - QSR/Fast Food
Taco Mama,Restaurant - Casual
Taco Mayo,Restaurant - QSR/Fast Food
Taco Palenque,Restaurant - QSR/Fast Food
Taco Tote,Restaurant - Fast Casual
TacoTime,Restaurant - QSR/Fast Food
TacoTime Northwest,Restaurant - QSR/Fast Food
Tacofino,Restaurant - Casual
"Tacolicious ",Restaurant - Casual
Tacomasa,Restaurant - QSR/Fast Food
Tacombi,Restaurant - Fast Casual
Tacos 4 Life,Restaurant - Fast Casual
Tacos El Gordo,Restaurant - QSR/Fast Food
Tag Heuer,Jewelry
Tagg-N-Go Car Wash,Car Wash
"Tahoe Joe's Famous Steakhouse",Restaurant - Casual
Tai Pan Trading,Home + Housewares
Take 5 Carwash,Car Wash
Take 5 Oil Change,"Auto Service, Parts, + Tires"
Take Five Café,Restaurant - Coffee/Tea
Talbots,Clothing - Womens
Talkin Tacos,Restaurant - Fast Casual
Talpa Super Mercados,Grocery
Tan Pro,"Spa, Massage, + Esthetics"
Tan Republic,"Spa, Massage, + Esthetics"
Tan Your Hide,"Spa, Massage, + Esthetics"
Tandy Leather Factory,Mass Merchant
Tanger Factory Outlet Centers,Commercial Properties
Tap & Barrel,Restaurant - Bar/Pub
Tapestry Collection by Hilton,Hotels
Tapioca Express,Restaurant - Coffee/Tea
Taqueria del Sol,Restaurant - QSR/Fast Food
Target,Mass Merchant
Tarka Indian Kitchen,Restaurant - Fast Casual
Tarragona Chile,Restaurant - QSR/Fast Food
Tartine,Restaurant - Bakery/Desserts
Tastee Freez,Restaurant - Bakery/Desserts
Tasti DLite,Restaurant - Juice Bars
Tate Boys Tire & Service,"Auto Service, Parts, + Tires"
Tatte Bakery & Cafe,Restaurant - Bakery/Desserts
Taubman Centers,Commercial Properties
Tavuk Dunyasi,Restaurant - QSR/Fast Food
Taylor Food Mart,Gas Stations
Taylor Foster Hardware,Home Improvement + Building Supplies
Taylor Gourmet,Restaurant - Fast Casual
Taylor Rental,Home Improvement + Building Supplies
"Taziki's",Restaurant - Fast Casual
Tbaar,Restaurant - Coffee/Tea
Tbooth Wireless,Communications
Tea2Go,Restaurant - Coffee/Tea
Team Car Wash,Car Wash
Team Rehab,Physical Therapy + Rehabilitation
Teapioca Lounge,Restaurant - Coffee/Tea
Teaspoon,Restaurant - Coffee/Tea
Teavana,Food Retail (Non-Grocers)
TechNet Professional Automotive Service,"Auto Service, Parts, + Tires"
TechSpace,Shared Offices + Coworking
Techo Bloc,Home Improvement + Building Supplies
"Techy	",Computers + Consumer Electronics
Tecovas,Clothing - Family/Unisex
Ted Baker,Clothing - Family/Unisex
Ted Wiens Tire & Auto,"Auto Service, Parts, + Tires"
"Ted's Café Escondido",Restaurant - Casual
"Ted's Montana Grill",Restaurant - Casual
Tedeschi Food Shops,Convenience Store
Telco,Clothing - Family/Unisex
Telepizza,Restaurant - QSR/Fast Food
Telle Tire & Auto Service,"Auto Service, Parts, + Tires"
Telus Communications,Communications
Tempur International,Furnishings
Tempur-Pedic,Mattress Store
Tempur-Pedic - Distributor Locations,Mattress Store
Tempur-Pedic Canada,Mattress Store
Ten Thousand Villages,Home + Housewares
Tender Greens,Restaurant - Casual
Tenet Healthcare,"Hospitals, Urgent Care, + Doctors"
Tennessee Farmers Co-op,Agricultural Feed + Seed
Teriyaki Experience,Restaurant - QSR/Fast Food
Teriyaki Madness,Restaurant - QSR/Fast Food
Terminix,Agricultural and Industrial Equipment + Supplies
Tern,Sports + Recreation
Terra Pizza,Restaurant - QSR/Fast Food
"Terrible's Car Wash",Convenience Store
"Terrible's Gaming",Amusement
"Terrible's Taverns ",Restaurant - Bar/Pub
Terroni,Restaurant - Casual
"Terry's Supermarket",Grocery
Tesco,Grocery
Tesla Body Repair Centers,"Auto Service, Parts, + Tires"
Tesla Charging Stations,EV Charging Stations
Tesla Stores + Service,New/Used Car Dealers
Teso Life,Discount Stores
Texaco,Gas Stations
Texas Car Title & Payday Loan Services,Lending
Texas Chicken & Burgers,Restaurant - QSR/Fast Food
Texas Chicken Ecuador,Restaurant - QSR/Fast Food
Texas Chicken Iraq,Restaurant - QSR/Fast Food
Texas Chicken Malaysia,Restaurant - QSR/Fast Food
Texas Chicken Singapore,Restaurant - QSR/Fast Food
Texas Family Fitness,Gyms + Fitness Facilities
Texas Health,"Hospitals, Urgent Care, + Doctors"
Texas Land & Cattle,Restaurant - Casual
Texas MedClinic,"Hospitals, Urgent Care, + Doctors"
Texas Roadhouse,Restaurant - Casual
Texas Steakhouse & Saloon,Restaurant - Casual
Texas Tires,"Auto Service, Parts, + Tires"
Texas Tool Traders,Home Improvement + Building Supplies
Texas de Brazil,Restaurant - Fine Dining
Tex?s Chicken & Burgers,Restaurant - QSR/Fast Food
Tforce Freight,Shipping
Thai Express,Restaurant - QSR/Fast Food
Thai Zone,Restaurant - QSR/Fast Food
Thalhimer,Commercial Properties
That?s Cheap!,Mass Merchant
The Ainsworth,Restaurant - Casual
The Alley,Restaurant - Coffee/Tea
The American Red Cross,"Hospitals, Urgent Care, + Doctors"
